Author;Region;Title;Page count;Year of publish;Year of original publish;Genre
David Howarth;Europe;The Sledge Patrol;240;2018;2018;History
Kelly Lytle Hernandez;South America;Bad Mexicans;384;2022;2022;History
Jon Meacham;North America;And There Was Light: Abraham Lincoln and the American Struggle;720;2022;2022;History
Anne Frank;Europe;Tales from the Secret Annex;341;1996;1947;History
Viktor Suvorov;Asia;SpetsNorth Americaz: The Inside Story of the Soviet Special Forces;207;1988;1988;History
Miyamoto Musashi;Asia;The Book of Five Rings;60;2010;2010;History
Plato;Europe;The Trial and Death of Socrates;58;2000;1892;History
John McPhee;North America;The Control of North Americature;288;1990;1990;History
Emilia Viotti da Costa;South America;The Brazilian Empire: Myths and Histories;352;2000;2000;History
Colleen Hoover;North America;Regretting You;365;2019;2019;Romance
Charlotte Bronte;Europe;Jane Eyre;624;2006;1847;Romance
Leo Tolstoy;Asia;AnNorth America KareniNorth America;848;1997;1878;Romance
Umberto Eco;Europe;The North Americame of the Rose;472;1994;1980;Romance
Diana Gabaldon;North America;Outlander: A Novel;642;2004;2004;Romance
Laura Esquivel;South America;Like Water for Chocolate;256;1995;1995;Romance
Mary Castillo;South America;Friday Night Chicas;352;2005;2005;Romance
Danielle Steel;North America;Without a Trace: A Novel;217;2023;2023;Romance
Yukio Mishima;Asia;The Sound of Waves;192;1994;1994;Romance
Marquis de Sade;Europe;Justine, or The Misfortunes of Virtue;264;2013;1787;Romance
Tedd Tripp;North America;Shepherding a Child's Heart;215;1995;1995;Parenting
Alice Miller;Europe;The Drama of the Gifted Child;133;2008;2008;Parenting
Jackie Mize;North America;SuperNorth Americatural Childbirth;130;2010;1993;Parenting
Sufi Hart;Asia;How to be a Working Mum: marriage, children, childcare;115;2022;2022;Parenting
Heidi Mavir;Europe;Your Child Is Not Broken;156;2022;2022;Parenting
Rob Kemp;Europe;The Expectant Dad's Survival Guide;272;2010;2010;Parenting
Gordon Neufeld;North America;Hold on to Your Kids: Why Parents Need to Matter More;352;2006;2006;Parenting
Suzy Giordano;North America;Twelve Hours' Sleep bt Twelve Weeks Old;160;2006;2006;Parenting
Sally Shaywitz;North America;Overcoming Dyslexia;414;2020;2005;Parenting
Eyal Ben-Ari;Asia;Japanese Childcare: An Interpretive Study of Culture and Organization;250;1997;1997;Parenting
Greta Thunberg;Europe;The Climate Book: Greta Thunberg;464;2022;2022;Politics
Ramona Coman;Europe;GoverNorth Americance and Politics in the Post-Crisis European Union;444;2020;2020;Politics
George Orwell;Europe;1984;324;2022;1949;Politics
Robin diAngelo;North America;White Fragility: Why It's So Hard for White People to Talk About Racism;192;2018;2018;Politics
Donella H. Meadows;North America;Thinking in Systems: InterNorth AmericatioNorth Americal Bestseller;240;2008;2008;Politics
Vasily Grossman;Asia;The Complete Black Book of Russian Jewry;628;2003;2003;Politics
Hwang Sok-yong;Asia;Gwangju Uprising: The Rebellion for Democracy in South Korea;512;2022;2022;Politics
Andrei Lankov;Asia;The Real North Korea: Life and Politics in the Failed Stalinist Utopia;336;2014;2014;Politics
Michael Beckley;North America;Danger Zone: The Coming Conflict with ChiNorth America;304;2022;2022;Politics
Volodymyr Zelensky;Europe;A MesSouth Americage from Ukraine: Speeches, 2019-2022;144;2022;2022;Politics
Orlando Gutierrez-Boronat;South America;Cuba: The Doctrine of The Lie;198;2022;2022;Politics
Santiago Levy;South America;Good Intentions, Bad Outcomes: Social Policy, Informality, and Economic Growth in Mexico;372;2008;2008;Politics
Jesie Ostermiller;Europe;The Colorwork Bible: Techniques and Projects for Colorful Knitting;160;2020;2020;Hobbies
Wade Bourne;North America;Basic Fishing: A Beginner's Guide;224;2015;2015;Hobbies
Pamelia Phillips;North America;Singing For Dummies: 3rd Edition;384;2021;2021;Hobbies
James Paris;Europe;Growing Berries - How to Grow and Preserve Berries;78;2021;2021;Hobbies
Johanna Lundstrom;Europe;Sewing Activewear: How to Make Your Own ProfessioNorth Americal-looking athletic wear;184;2017;2017;Hobbies
Matsuo Basho;Asia;On Love and Barley: The Haiku of Basho;92;1985;1985;Hobbies
Chester Ong;Asia;Chinese Houses: The Architectural Heritage of a North Americation;288;2006;2006;Hobbies
Roberto Silva;South America;New Brazilian Gardens: The Legacy of Burle Marx;192;2006;2006;Hobbies
Nilda Callanaupa Alvarez;South America;Faces of Tradition: Weaving Elders of the Andes;152;2013;2013;Hobbies
